IDENTIFIER,LAT,LON,ALTITUDE,IS_AIRPORT
INPUD_FL000,48.667222,11.541389,0.0,0
INSOL_FL000,47.840603,12.619592,0.0,0
INTEX_FL000,47.1825,9.859722,0.0,0
IRBIR_FL000,47.566414,11.103611,0.0,0
ISTRI_FL000,46.498054,13.95939,0.0,0
KANIN_FL000,46.440464,13.628689,0.0,0
KEMAV_FL000,48.976381,9.927217,0.0,0
KFT25_FL000,46.908814,14.159628,0.0,0
KIRDI_FL000,48.207778,12.821667,0.0,0
KLAGY_FL000,46.5143,14.775169,0.0,0
KOGEX_FL000,47.113247,15.287058,0.0,0
KOGOL_FL000,47.621389,11.368056,0.0,0
KONIN_FL000,47.853611,11.348056,0.0,0
KOVEL_FL000,48.700833,15.596944,0.0,0
KPT23_FL000,47.386667,10.516667,0.0,0
KTI04_FL000,47.28038,11.000659,0.0,0
KTI05_FL000,47.23638,10.907859,0.0,0
KTI08_FL000,47.30038,10.881459,0.0,0
KUNET_FL000,47.946589,17.326439,0.0,0
KUSAM_FL000,47.137222,10.281944,0.0,0
LADAG_FL000,48.588981,15.041106,0.0,0
LAKOL_FL000,48.071111,12.014722,0.0,0
LALIN_FL000,48.88,13.242222,0.0,0
LANDU_FL000,48.596361,12.273928,0.0,0
LANUX_FL000,48.888106,15.615789,0.0,0
LASMI_FL000,48.541667,11.716667,0.0,0
LBU41_FL000,48.783922,9.50395,0.0,0
LBU45_FL000,48.849117,9.421383,0.0,0
LCH03_FL000,48.440497,10.859,0.0,0
LCH04_FL000,48.378786,11.105031,0.0,0
LCH05_FL000,48.265929,10.957262,0.0,0
LCH06_FL000,48.203077,10.875357,0.0,0
LCH07_FL000,47.983046,10.650763,0.0,0
LCH08_FL000,48.051389,10.77519,0.0,0
LCH09_FL000,48.159592,10.840336,0.0,0
LCH16_FL000,48.061202,10.907088,0.0,0
LCH27_FL000,48.413123,11.029482,0.0,0
LCH30_FL000,48.228225,10.908095,0.0,0
LCH34_FL000,48.245494,10.915272,0.0,0
LCH35_FL000,48.395085,11.074312,0.0,0
LCH40_FL000,48.257794,10.822318,0.0,0
LCH50_FL000,48.113224,10.812383,0.0,0
LCH97_FL000,48.406851,10.671264,0.0,0
LCH99_FL000,48.189892,10.485114,0.0,0
LEDRI_FL000,48.09089,17.18285,0.0,0
LEDVA_FL000,48.728889,16.789167,0.0,0
LELTA_FL000,48.493056,10.955278,0.0,0
LEMSO_FL000,47.426944,10.861111,0.0,0
LENIZ_FL000,46.791604,15.494913,0.0,0
LEOBE_FL000,47.363689,15.026964,0.0,0
LIKDA_FL000,47.016944,11.750833,0.0,0
LIMRA_FL000,47.910981,14.447783,0.0,0
LIZUM_FL000,47.115069,11.756036,0.0,0
LNZ01_FL000,48.083174,14.267821,0.0,0
LNZ08_FL000,48.237206,14.400933,0.0,0
LNZ10_FL000,48.386293,14.188734,0.0,0
LNZ11_FL000,48.085117,14.271616,0.0,0
LNZ17_FL000,48.443203,13.82378,0.0,0
LNZ20_FL000,48.448906,14.223112,0.0,0
LNZ24_FL000,48.014371,14.576821,0.0,0
LNZ35_FL000,47.768777,14.635905,0.0,0
LNZ41_FL000,48.23506,14.219542,0.0,0
LNZ42_FL000,47.913912,14.469491,0.0,0
LNZ53_FL000,47.762634,14.623862,0.0,0
LNZ60_FL000,48.279292,14.441944,0.0,0
LNZ67_FL000,48.216971,13.75449,0.0,0
LNZ70_FL000,48.263872,14.447119,0.0,0
LNZ71_FL000,48.325924,13.703915,0.0,0
LNZ79_FL000,48.301472,14.667143,0.0,0
LNZNB_FL000,48.2371,14.321783,0.0,0
LOFER_FL000,47.648115,12.586527,0.0,0
LOMRO_FL000,47.666667,12.596944,0.0,0
LORLO_FL000,46.724167,10.678889,0.0,0
LUGIM_FL000,48.18562,15.10902,0.0,0
LUPOL_FL000,48.218033,9.910867,0.0,0
LUPOX_FL000,48.922222,10.846944,0.0,0
LUSAN_FL000,49.005278,13.351389,0.0,0
LUXEK_FL000,47.688056,11.7175,0.0,0
MABOD_FL000,48.57456,16.6901,0.0,0
MAGAT_FL000,48.341522,11.496439,0.0,0
MAGIT_FL000,48.05139,13.53472,0.0,0
MAH06_FL000,48.314828,11.440344,0.0,0
MAH46_FL000,48.237158,11.419767,0.0,0
MALAB_FL000,48.8225,9.951,0.0,0
MALUG_FL000,46.706111,12.5975,0.0,0
MAMOR_FL000,48.885833,12.222222,0.0,0
MANAL_FL000,47.899445,11.8,0.0,0
MAREG_FL000,48.190489,16.969089,0.0,0
MASUR_FL000,48.5201,15.43929,0.0,0
MATAR_FL000,46.975,11.253333,0.0,0
MATIG_FL000,48.058592,13.541495,0.0,0
MBG03_FL000,48.572511,12.185672,0.0,0
MBG11_FL000,48.404606,12.153418,0.0,0
MBG12_FL000,48.533247,11.953091,0.0,0
MBG13_FL000,48.444443,11.97441,0.0,0
MDF11_FL000,48.358214,12.131273,0.0,0
MEBEK_FL000,48.231944,12.565556,0.0,0
MEXIT_FL000,47.9725,9.552667,0.0,0
MIKOV_FL000,48.784722,16.621111,0.0,0
MILGO_FL000,47.301711,15.09165,0.0,0
MILKA_FL000,47.837551,9.624184,0.0,0
MIQ23_FL000,48.578468,11.709831,0.0,0
MIRLU_FL000,47.934508,17.141619,0.0,0
