V0,V1,D
DM060_FL000,DM532_FL000,3863.922
DM061_FL000,MAGAT_FL000,1631.477
DM061_FL000,WLD18_FL000,2819.936
DM061_FL000,MAH06_FL000,3814.295
DM062_FL000,DM430_FL000,3282.806
DM062_FL000,DM420_FL000,9754.717
DM063_FL000,SITKU_FL000,5408.444
DM064_FL000,LASMI_FL000,8958.481
DM064_FL000,DM424_FL000,9328.950
DM065_FL000,MBG12_FL000,2501.927
DM065_FL000,DM427_FL000,8500.759
DM066_FL000,MUNCHEN_FL000,1114.649
DM066_FL000,DM433_FL000,3135.902
DM068_FL000,EBEDA_FL000,8591.043
DM068_FL000,ELMUG_FL000,9273.565
DM070_FL000,DMN19_FL000,46.326
DM070_FL000,DMN18_FL000,140.503
DM070_FL000,DM084_FL000,2227.306
DM071_FL000,DM436_FL000,1690.328
DM071_FL000,MNW10_FL000,1868.946
DM071_FL000,DM083_FL000,2304.464
DM071_FL000,MBG13_FL000,7309.823
DM072_FL000,DM087_FL000,603.022
DM072_FL000,DM085_FL000,1691.606
DM072_FL000,DM090_FL000,1794.700
DM072_FL000,DMN21_FL000,2477.985
DM073_FL000,DM085_FL000,2594.515
DM073_FL000,DM090_FL000,2667.649
DM073_FL000,DM077_FL000,3163.171
DM073_FL000,DM091_FL000,4170.407
DM073_FL000,DM552_FL000,4260.909
DM074_FL000,DM094_FL000,1341.949
DM074_FL000,NELBI_FL000,2714.607
DM074_FL000,MNW10_FL000,3815.240
DM075_FL000,MUN81_FL000,6573.845
DM075_FL000,OBAXA_FL000,10588.827
DM075_FL000,MUN04_FL000,13839.772
DM075_FL000,LAKOL_FL000,16340.612
DM076_FL000,ROTIN_FL000,9334.948
DM076_FL000,ROTAX_FL000,10399.876
DM077_FL000,DM090_FL000,2643.799
DM077_FL000,MNW01_FL000,4232.108
DM077_FL000,DM091_FL000,5181.867
DM077_FL000,DM426_FL000,5617.746
DM077_FL000,MNW68_FL000,5682.233
DM077_FL000,MBG13_FL000,6087.097
DM078_FL000,DM086_FL000,3.617
DM078_FL000,DM082_FL000,4631.883
DM078_FL000,ERDING_FL000,5086.015
DM078_FL000,DM562_FL000,5281.856
DM079_FL000,MBG13_FL000,1916.212
DM079_FL000,DM427_FL000,2968.803
DM079_FL000,MBG12_FL000,9448.438
DM080_FL000,DM446_FL000,1908.950
DM080_FL000,MNW01_FL000,2412.805
DM080_FL000,ERDING_FL000,3741.661
DM081_FL000,DM446_FL000,1432.802
DM081_FL000,DM083_FL000,1794.186
DM081_FL000,DM436_FL000,2310.111
DM082_FL000,ERDING_FL000,3297.616
DM082_FL000,DM094_FL000,4826.236
DM082_FL000,DM083_FL000,5497.146
DM083_FL000,MSW39_FL000,291.213
DM084_FL000,DMS83_FL000,167.317
DM084_FL000,MSW35_FL000,1857.507
DM084_FL000,DMN18_FL000,2223.748
DM085_FL000,DM090_FL000,1067.738
DM086_FL000,DM456_FL000,1352.422
DM087_FL000,MNW01_FL000,2607.953
DM088_FL000,DM091_FL000,525.788
DM088_FL000,DM552_FL000,2050.531
DM088_FL000,DM089_FL000,14292.121
DM089_FL000,MIQ23_FL000,8697.211
DM089_FL000,LASMI_FL000,9391.200
DM089_FL000,MBG12_FL000,10757.156
DM089_FL000,EVIVA_FL000,13120.613
DM089_FL000,DM552_FL000,14314.354
DM091_FL000,DM426_FL000,3548.715
DM094_FL000,MSW10_FL000,2550.167
DM411_FL000,SITKU_FL000,6247.407
DM411_FL000,MIKE_FL000,7924.001
DM411_FL000,DM422_FL000,12206.719
DM412_FL000,MBG03_FL000,12800.214
DM412_FL000,SIGGI_FL000,26258.367
DM420_FL000,LCH04_FL000,4820.012
DM420_FL000,DM430_FL000,9431.735
DM420_FL000,VEMUG_FL000,12881.820
DM420_FL000,DM421_FL000,13783.518
DM421_FL000,DM431_FL000,9510.763
DM421_FL000,VEMUG_FL000,13835.717
DM422_FL000,OLETU_FL000,7546.724
DM422_FL000,DM423_FL000,7560.984
DM422_FL000,MAGAT_FL000,9886.161
DM422_FL000,DM433_FL000,11257.982
DM423_FL000,OLETU_FL000,3566.980
DM423_FL000,DM532_FL000,6960.843
DM423_FL000,DM424_FL000,7560.969
DM423_FL000,DM433_FL000,9536.309
DM424_FL000,DM532_FL000,6054.280
DM424_FL000,DM425_FL000,7560.721
DM424_FL000,LASMI_FL000,10781.675
DM425_FL000,DM552_FL000,1900.970
DM425_FL000,LASMI_FL000,12782.540
DM426_FL000,MBG13_FL000,3832.241
DM426_FL000,MBG12_FL000,8301.593
DM427_FL000,GUDEG_FL000,10122.172
DM427_FL000,DM428_FL000,12909.546
DM428_FL000,DM438_FL000,9609.661
DM428_FL000,MOOSBURG_FL000,11103.355
DM428_FL000,DM429_FL000,12909.427
DM429_FL000,DM439_FL000,9431.442
DM429_FL000,VIBUG_FL000,9701.795
DM429_FL000,MOOSBURG_FL000,12405.493
DM430_FL000,DM440_FL000,2292.346
DM430_FL000,LCH04_FL000,8840.767
DM431_FL000,DM441_FL000,2744.954
DM433_FL000,DM443_FL000,2742.074
DM436_FL000,MNW68_FL000,270.643
DM436_FL000,MBG13_FL000,7375.338
DM438_FL000,DM448_FL000,2748.156
DM438_FL000,MBG11_FL000,6650.331
DM438_FL000,DM439_FL000,11064.304
DM438_FL000,DM449_FL000,11301.120
DM439_FL000,DM449_FL000,2307.012
DM439_FL000,VIBUG_FL000,7330.214
DM440_FL000,DM450_FL000,9615.101
DM441_FL000,MSE20_FL000,3569.291
DM441_FL000,MAISACH_FL000,5063.589
DM443_FL000,DM452_FL000,10686.490
DM446_FL000,MNW68_FL000,2624.350
DM446_FL000,ERDING_FL000,3476.963
DM448_FL000,MBG11_FL000,6232.411
DM448_FL000,DM458_FL000,9622.316
DM448_FL000,DM459_FL000,15813.682
DM449_FL000,DM459_FL000,9615.747
DM450_FL000,MAISACH_FL000,10391.897
DM450_FL000,OBI55_FL000,14682.980
DM451_FL000,MAH46_FL000,3129.433
DM451_FL000,OBI07_FL000,7648.942
DM452_FL000,MUN13_FL000,5599.476
DM452_FL000,DM453_FL000,7559.109
DM452_FL000,EUR29_FL000,8527.930
DM453_FL000,EUR29_FL000,10151.425
DM454_FL000,DM542_FL000,3759.255
DM454_FL000,DM455_FL000,7559.381
DM455_FL000,DM562_FL000,2190.845
DM456_FL000,DM461_FL000,14352.780
